Municipio,Ano,Total,Media
Potiretama,2012,292.0,24.33
Itaitinga,2012,708.0,59.0
Altaneira,2012,796.9,66.41
Farias Brito,2012,796.2,66.35
Jati,2012,278.0,23.17
Nova Olinda,2012,377.0,31.42
Quixadá,2012,214.82,17.9
Pereiro,2012,344.62,28.72
Groaíras,2012,275.2,22.93
Cariús,2012,834.32,69.53
Graça,2012,513.0,42.75
Choró,2012,384.5,32.04
Jaguaruana,2012,396.95,33.08
Viçosa do Ceará,2012,487.44,40.62
São Luís do Curu,2012,206.0,17.17
Baixio,2012,652.8,54.4
Piquet Carneiro,2012,349.1,29.09
Tururu,2012,384.0,32.0
Morada Nova,2012,392.68,32.72
Quixelô,2012,608.0,50.67
Nova Russas,2012,338.25,28.19
Acarape,2012,544.0,45.33
Aracati,2012,339.3,28.27
Orós,2012,554.4,46.2
Monsenhor Tabosa,2012,166.2,13.85
Itapipoca,2012,640.58,53.38
Mombaça,2012,354.35,29.53
Marco,2012,511.85,42.65
Pires Ferreira,2012,375.0,31.25
Catarina,2012,372.5,31.04
Ererê,2012,498.65,41.55
Guaraciaba do Norte,2012,548.42,45.7
Iracema,2012,568.54,47.38
Croatá,2012,347.75,28.98
Paramoti,2012,174.0,14.5
Ubajara,2012,562.1,46.84
Ipaporanga,2012,354.0,29.5
Carnaubal,2012,209.8,17.48
Massapê,2012,332.4,27.7
Chaval,2012,411.5,34.29
São Benedito,2012,464.65,38.72
Aracoiaba,2012,518.1,43.18
Potengi,2012,237.5,19.79
Granja,2012,592.71,49.39
Missão Velha,2012,598.2,49.85
Poranga,2012,302.75,25.23
Granjeiro,2012,733.0,61.08
Senador Sá,2012,430.65,35.89
Icó,2012,513.72,42.81
Pedra Branca,2012,330.58,27.55
Tarrafas,2012,231.6,19.3
Maranguape,2012,550.38,45.86
Palhano,2012,396.8,33.07
Campos Sales,2012,322.76,26.9
Caridade,2012,353.7,29.48
São Gonçalo do Amarante,2012,555.49,46.29
Horizonte,2012,508.1,42.34
Paracuru,2012,645.6,53.8
Santana do Cariri,2012,664.4,55.37
Amontada,2012,474.9,39.57
Quiterianópolis,2012,277.75,23.15
Tauá,2012,207.61,17.3
Brejo Santo,2012,427.68,35.64
Lavras da Mangabeira,2012,670.07,55.84
Ocara,2012,382.33,31.86
Caririaçu,2012,673.5,56.12
Aurora,2012,549.12,45.76
Barreira,2012,413.5,34.46
Maracanaú,2012,654.87,54.57
Bela Cruz,2012,389.0,32.42
Meruoca,2012,623.9,51.99
Pacatuba,2012,834.35,69.53
Frecheirinha,2012,462.0,38.5
Pacujá,2012,462.9,38.57
Salitre,2012,318.9,26.57
General Sampaio,2012,231.05,19.25
Banabuiú,2012,238.05,19.84
São João do Jaguaribe,2012,240.15,20.01
Abaiara,2012,464.7,38.73
Umirim,2012,170.6,14.22
Irauçuba,2012,256.18,21.35
Guaiúba,2012,515.0,42.92
Crateús,2012,239.76,19.98
Palmácia,2012,984.2,82.02
Beberibe,2012,598.11,49.84
Mucambo,2012,629.0,52.42
Martinópole,2012,560.0,46.67
Jaguaribara,2012,353.3,29.44
Tabuleiro do Norte,2012,340.8,28.4
Acopiara,2012,465.46,38.79
Saboeiro,2012,465.75,38.81
Pacoti,2012,869.6,72.47
Quixeramobim,2012,277.53,23.13
Cariré,2012,318.2,26.52
Alto Santo,2012,305.35,25.45
Barro,2012,505.2,42.1
Itaiçaba,2012,400.95,33.41
Barroquinha,2012,640.5,53.38
Crato,2012,763.32,63.61
Moraújo,2012,241.0,20.08
Itapiúna,2012,382.6,31.88
Limoeiro do Norte,2012,329.22,27.44
Catunda,2012,158.0,13.17
Chorozinho,2012,999.35,83.28
Madalena,2012,175.9,14.66
Acaraú,2012,518.75,43.23
Várzea Alegre,2012,546.7,45.56
Jardim,2012,356.8,29.73
Alcântaras,2012,322.2,26.85
Pacajus,2012,438.1,36.51
Ararendá,2012,176.0,14.67
Paraipaba,2012,723.0,60.25
Itapajé,2012,612.55,51.05
Mulungu,2012,686.4,57.2
Varjota,2012,398.3,33.19
Porteiras,2012,459.25,38.27
Jaguaribe,2012,349.3,29.11
Cruz,2012,600.0,50.0
Quixeré,2012,290.7,24.22
Fortim,2012,469.9,39.16
Ibicuitinga,2012,257.8,21.48
Reriutaba,2012,409.1,34.09
Aratuba,2012,737.0,61.42
Capistrano,2012,301.0,25.08
Penaforte,2012,298.0,24.83
Boa Viagem,2012,173.4,14.45
Antonina do Norte,2012,381.7,31.81
Tejuçuoca,2012,277.5,23.12
Jucás,2012,769.25,64.1
Arneiroz,2012,224.3,18.69
Cedro,2012,736.55,61.38
Barbalha,2012,540.5,45.04
Ipu,2012,457.15,38.1
Cascavel,2012,541.4,45.12
Assaré,2012,554.2,46.18
Guaramiranga,2012,747.6,62.3
Tianguá,2012,595.9,49.66
Parambu,2012,223.58,18.63
Baturité,2012,550.4,45.87
Icapuí,2012,179.5,14.96
Ipaumirim,2012,673.95,56.16
Aquiraz,2012,682.45,56.87
Hidrolândia,2012,315.85,26.32
Camocim,2012,336.75,28.06
Pentecoste,2012,265.48,22.12
Miraíma,2012,325.9,27.16
Tamboril,2012,206.11,17.18
Deputado Irapuan Pinheiro,2012,326.5,27.21
Morrinhos,2012,498.0,41.5
Itarema,2012,517.8,43.15
Jijoca de Jericoacoara,2012,392.25,32.69
Senador Pompeu,2012,298.1,24.84
Novo Oriente,2012,270.0,22.5
Forquilha,2012,279.95,23.33
Uruburetama,2012,520.0,43.33
Ipueiras,2012,416.61,34.72
Milagres,2012,453.5,37.79
Ibiapina,2012,1116.0,93.0
Araripe,2012,344.7,28.72
Solonópole,2012,294.62,24.55
Trairi,2012,678.5,56.54
Eusébio,2012,851.0,70.92
Santana do Acaraú,2012,334.0,27.83
Milhã,2012,179.0,14.92
Itatira,2012,280.88,23.41
Mauriti,2012,289.33,24.11
Jaguaretama,2012,165.42,13.79
Fortaleza,2012,980.12,81.68
Russas,2012,315.94,26.33
Sobral,2012,194.14,16.18
Aiuaba,2012,366.46,30.54
Independência,2012,162.01,13.5
Ibaretama,2012,324.8,27.07
Apuiarés,2012,377.9,31.49
Juazeiro do Norte,2012,524.75,43.73
Coreaú,2012,393.35,32.78
Uruoca,2012,593.0,49.42
Santa Quitéria,2012,225.44,18.79
Iguatu,2012,718.37,59.86
Canindé,2012,264.65,22.05
Pindoretama,2012,765.0,63.75
Caucaia,2012,418.5,34.88
Redenção,2012,684.0,57.0
Umari,2012,477.6,39.8
